,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
572,House,450.0,78722,SingleFamily,2015.0,470827.0,1946.0,18530.0,1911.0,2.0,,516586.0
574,Townhouse,45.0,78722,SingleFamily,2015.0,449026.0,1949.0,16553.0,1472.0,1.0,,484566.0
575,House,75.0,78704,SingleFamily,2015.0,542250.0,1942.0,13913.0,1995.0,2.0,,697488.0
578,House,154.0,78704,SingleFamily,2015.0,543046.0,1988.0,6304.0,1201.0,1.5,2.0,577542.0
579,Townhouse,50.0,78704,Duplex,2015.0,566342.0,1961.0,12306.0,2289.0,3.0,,620016.0
580,House,300.0,78704,SingleFamily,2015.0,755423.0,2002.0,13800.0,2300.0,2.0,3.0,807087.0
582,House,109.0,78704,SingleFamily,2015.0,348132.0,1961.0,6983.0,1456.0,2.0,,429214.0
583,House,1200.0,78741,Duplex,2015.0,200787.0,1964.0,10986.0,1449.0,2.0,,309983.0
584,House,170.0,78722,SingleFamily,2015.0,336404.0,1951.0,5000.0,1248.0,2.0,3.0,414662.0
585,House,395.0,78704,Condominium,2013.0,9782.0,2008.0,1133.0,836.0,,,185143.0
587,House,500.0,78722,SingleFamily,2015.0,232648.0,1930.0,,909.0,1.0,2.0,279876.0
588,House,299.0,78722,MultiFamily2To4,2015.0,259739.0,1964.0,5227.0,690.0,2.0,2.0,320185.0
590,House,395.0,78722,SingleFamily,2015.0,366129.0,1939.0,7314.0,1172.0,1.0,,405928.0
591,House,290.0,78704,SingleFamily,2015.0,678867.0,1933.0,6011.0,1188.0,1.0,3.0,550098.0
592,House,89.0,78704,SingleFamily,2011.0,548257.0,2001.0,8738.0,2004.0,2.0,,733498.0
593,House,390.0,78722,SingleFamily,2015.0,424502.0,1948.0,11282.0,1525.0,1.5,2.0,446643.0
594,House,1200.0,78722,Apartment,2015.0,305395.0,1960.0,8102.0,395.0,1.0,0.0,
595,House,200.0,78722,SingleFamily,2015.0,242397.0,1947.0,,,2.0,3.0,326421.0
597,House,1200.0,78741,Condominium,2015.0,17629900.0,1961.0,330795.0,1002.0,2.0,2.0,681572.0
598,House,270.0,78704,SingleFamily,2015.0,340132.0,1940.0,4443.0,1748.0,3.0,3.0,593579.0
601,House,150.0,78741,SingleFamily,2015.0,333146.0,1964.0,8346.0,1760.0,2.0,,397214.0
602,House,600.0,78746,SingleFamily,2015.0,858000.0,1993.0,16932.0,3945.0,4.0,,1104865.0
603,House,1499.0,78733,SingleFamily,2015.0,1679226.0,1950.0,235834.0,2355.0,2.0,3.0,1250590.0
604,House,350.0,78749,SingleFamily,2015.0,254504.0,1983.0,9601.0,1824.0,2.0,3.0,308064.0
606,House,80.0,78705,SingleFamily,2015.0,1537234.0,1995.0,49105.0,3970.0,3.0,,1152836.0
607,House,200.0,78751,SingleFamily,2015.0,358390.0,1920.0,7836.0,1296.0,1.0,,415926.0
610,House,75.0,78751,SingleFamily,2015.0,740626.0,2013.0,6460.0,2643.0,3.0,3.0,807997.0
611,House,100.0,78751,SingleFamily,2015.0,329053.0,1952.0,6564.0,1362.0,2.0,,405979.0
612,House,220.0,78704,Duplex,2015.0,344112.0,1965.0,11243.0,1472.0,2.0,,426918.0
614,House,229.0,78704,SingleFamily,2015.0,576330.0,1949.0,14871.0,1324.0,2.0,,626832.0
616,House,84.0,78757,SingleFamily,2015.0,349527.0,1982.0,9060.0,740.0,1.0,1.0,389567.0
617,House,99.0,78704,SingleFamily,2015.0,403677.0,1946.0,7383.0,940.0,1.0,,473586.0
619,House,200.0,78705,MultiFamily2To4,2015.0,868400.0,1950.0,14166.0,6680.0,8.0,,2205445.0
621,House,40.0,78748,MultiFamily5Plus,,,,,692.0,1.0,1.0,
622,House,135.0,78748,SingleFamily,2015.0,215564.0,1983.0,6054.0,2307.0,3.0,3.0,264736.0
623,House,110.0,78748,SingleFamily,2015.0,160366.0,1986.0,6181.0,1013.0,2.0,,204419.0
624,House,180.0,78748,SingleFamily,2015.0,172976.0,1983.0,6216.0,1192.0,2.0,,214423.0
625,House,29.0,78748,SingleFamily,2015.0,180065.0,1955.0,44126.0,1208.0,1.0,,233374.0
627,House,30.0,78748,SingleFamily,2015.0,203203.0,1953.0,58632.0,1296.0,1.0,,248184.0
